"FishCode","FishDesc","Consigned","Sold","LowPrice","AvgPrice","HighPrice","MonthNum","YearNum"
"HDDS","Haddock | scrod","17406","17014","0","1.63","2.62","12","2019"
"CADM","Cod | market","2250","2128","0","3.61","4.71","1","2018"
"HDDL","Haddock | large","6206","6206","1.69","2.4","3.72","1","2018"
"HDDP","Haddock | snapper","4538","4266","0","1.28","2.17","1","2018"
"HDDS","Haddock | scrod","27720","27284","0","1.89","2.93","1","2018"
"CADM","Cod | market","1539","1486","0","2.58","3.22","2","2018"
"HDDL","Haddock | large","6257","6243","0","2.21","3.01","2","2018"
"HDDP","Haddock | snapper","3411","3266","0","0.69","1.23","2","2018"
"HDDS","Haddock | scrod","29268","28968","0.87","1.25","2.22","2","2018"
"CADM","Cod | market","3827","3525","2.47","3.17","4.82","3","2018"
"HDDL","Haddock | large","5780","5780","1.93","2.73","4.92","3","2018"
"HDDP","Haddock | snapper","1718","1418","0.59","1.17","1.57","3","2018"
"HDDS","Haddock | scrod","46699","28161","0.99","1.66","2.55","3","2018"
"CADM","Cod | market","15321","4710","0","2.45","4.21","4","2018"
"CADS","Cod | scrod","24","3","0","1.49","1.49","4","2018"
"HDDL","Haddock | large","4099","4099","1.86","2.84","4.02","4","2018"
"HDDP","Haddock | snapper","1994","1666","0","0.94","1.3","4","2018"
"HDDS","Haddock | scrod","16467","15556","0","1.53","2.76","4","2018"
"CADM","Cod | market","1363","1363","2.02","2.97","3.42","5","2018"
"CADS","Cod | scrod","3","0","0","0","0","5","2018"
"HDDL","Haddock | large","2257","2257","2.24","2.97","4.67","5","2018"
"HDDP","Haddock | snapper","601","516","0","0.93","1.26","5","2018"
"HDDS","Haddock | scrod","14076","13425","0","1.92","2.53","5","2018"
"CADM","Cod | market","5683","5268","2.26","2.74","4.11","6","2018"
"CADS","Cod | scrod","74","13","0","1.38","1.52","6","2018"
"HDDL","Haddock | large","747","738","0","3.03","5.02","6","2018"
"HDDP","Haddock | snapper","505","248","0","0.68","1.2","6","2018"
"HDDS","Haddock | scrod","6929","5506","0","1.84","2.26","6","2018"
"CADM","Cod | market","5407","4453","0","2.79","4.32","7","2018"
"CADS","Cod | scrod","18","3","0","1.49","1.49","7","2018"
"HDDL","Haddock | large","1060","1019","0","2.93","4.22","7","2018"
"HDDP","Haddock | snapper","918","127","0","0.58","0.98","7","2018"
"HDDS","Haddock | scrod","14231","10911","0","1.73","2.52","7","2018"
"CADM","Cod | market","3313","2888","0","3.62","4.82","8","2018"
"CADS","Cod | scrod","3","0","0","0","0","8","2018"
"HDDL","Haddock | large","4239","4120","1.23","2.41","3.37","8","2018"
"HDDP","Haddock | snapper","3028","934","0","0.85","1.62","8","2018"
"HDDS","Haddock | scrod","41397","30378","0.7","1.65","2.5","8","2018"
"CADM","Cod | market","1066","1058","0","2.85","4.42","9","2018"
"HDDL","Haddock | large","7414","6238","0","2.05","3.23","9","2018"
"HDDP","Haddock | snapper","2825","763","0","0.54","0.73","9","2018"
"HDDS","Haddock | scrod","47412","39624","0","1.19","1.99","9","2018"
"CADM","Cod | market","2721","2516","0","2.91","4.22","10","2018"
"HDDL","Haddock | large","11731","11418","0","1.89","2.72","10","2018"
"HDDP","Haddock | snapper","3750","2379","0","0.62","0.9","10","2018"
"HDDS","Haddock | scrod","63684","53186","0","1","1.66","10","2018"
"CADM","Cod | market","815","722","0","2.45","4.06","11","2018"
